artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_count
ILLENIUM;Teddy Swims,Worst Day,All That Really Matters,244235,False,0.352,0.666,1,-4.909,1,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,4,edm,2
Bensley,All Night,All Night,248372,False,0.514,0.961,6,-1.675,1,0.0763,0.00232,0.0158,0.334,0.202,172.005,4,drum-and-bass,1
Boris Brejcha;Ginger,Happinezz (Edit),Happinezz - Edit,245760,False,0.751,0.509,7,-12.551,1,0.0449,0.00468,0.76,0.128,0.266,125.023,4,techno,2
Barış Akarsu,Islak Islak,Mavi,265195,False,0.65,0.744,7,-6.467,0,0.0317,0.00546,3.75e-06,0.117,0.548,127.016,4,turkish,1
Sickflip;Ritviz;Seedhe Maut,Roshni,Roshni,174000,False,0.566,0.576,6,-7.652,0,0.121,0.629,0.0,0.534,0.3,100.065,4,electronic,3
Marc Seguí;Pol Granch,Tiroteo,Tiroteo,266290,False,0.747,0.605,9,-6.633,1,0.0269,0.0548,3.55e-06,0.0794,0.564,110.402,4,spanish,2
Fejo,Aanakkaryam Parayumbo Chena,Aanakkaryam Parayumbo Chena,129322,False,0.573,0.685,1,-8.809,1,0.324,0.303,0.000174,0.0908,0.471,146.061,4,malay,1
Crumb,Locket,Recently Played,120454,False,0.57,0.334,5,-11.046,0,0.031,0.695,0.226,0.226,0.124,112.015,3,garage,1
Nikolay Nikitskiy,Velikie ispolniteli Rossii XX veka: Nikolay Nikitskiy,Arabskoe tango,200951,False,0.63,0.229,4,-10.883,0,0.0383,0.914,2.1e-05,0.16,0.532,106.979,4,romance,1
Kevin Kern,In the Enchanted Garden,Through the Arbor,225800,False,0.302,0.0797,2,-18.901,1,0.0331,0.981,0.836,0.0793,0.235,199.907,4,piano,1
Kamakshi Khanna;OAFF,Duur,Duur,186570,False,0.546,0.17,0,-15.055,1,0.031,0.904,0.00178,0.084,0.135,130.07,3,songwriter,2
Caju Pra Baixo,Pra Me Conquistar,Pra Me Conquistar,213731,False,0.559,0.706,6,-6.293,0,0.0451,0.324,0.0,0.171,0.646,85.666,4,samba,1
Mishaal;Powfu,Life's a Ride,Friends (feat. Powfu),155320,False,0.711,0.589,8,-5.866,1,0.0431,0.103,0.0,0.161,0.241,87.965,4,sad,2
Con Alma,Libre,Libre,143624,False,0.427,0.0272,1,-23.74,1,0.049,0.96,0.852,0.109,0.0911,68.903,3,piano,1
Flux Pavilion;Sway and P Money,Blow the Roof,Double Edge (feat. Sway and P Money),205862,False,0.609,0.947,6,-4.919,1,0.0715,0.00132,0.015,0.217,0.641,109.956,4,dub,2
Keyakizaka46,アンビバレント (Special Edition),I'm out,234240,False,0.529,0.918,0,-2.984,0,0.0633,0.0198,0.0,0.302,0.54,120.986,4,j-idol,1
Surgeon,Raw Trax 1,Raw Trax 2,374899,False,0.785,0.843,6,-5.383,1,0.209,0.00889,0.433,0.0969,0.364,133.976,4,detroit-techno,1
Ozuna,OzuTochi,Kotodama,188533,False,0.884,0.694,0,-3.241,1,0.0716,0.156,0.0188,0.3,0.597,93.025,4,latino,1
Hakkuhbar,Vet heftig,Feestbeest,217640,False,0.564,0.873,5,-6.95,1,0.0676,0.00381,0.000967,0.25,0.398,171.99,4,happy,1
Dimash Qudaibergen,О'кей,О'кей,197387,False,0.616,0.648,9,-10.457,0,0.09,0.473,0.0311,0.0915,0.18,123.916,4,opera,1
Dora The Explorer,Dora The Explorer,Do The Robot Walk,50440,False,0.93,0.565,1,-6.567,1,0.113,0.0475,0.364,0.0863,0.729,112.897,4,kids,1
Aitana;Lele Pons,TELÉFONO (Remix),TELÉFONO - Remix,163786,False,0.672,0.886,2,-3.234,1,0.0684,0.201,4.79e-05,0.104,0.667,171.995,4,spanish,2
Railbenders,Segundo,Whiskey Rain,231813,False,0.51,0.898,4,-5.803,1,0.0394,0.193,0.0,0.111,0.711,125.163,4,honky-tonk,1
Yves Larock;Steff da Campo;Jaba,Rise Up 2021 (feat. Jaba),Rise Up 2021 (feat. Jaba) - Radio Edit,155238,False,0.784,0.823,6,-6.24,1,0.08,0.0173,0.0148,0.137,0.574,125.931,4,disco,3
Maribou State;Holly Walker,Kingdoms In Colour,Nervous Tics (feat. Holly Walker),254020,False,0.811,0.615,0,-9.41,0,0.0446,0.761,0.578,0.0974,0.743,125.99,4,garage,2
Linkin Park,Meteora (Bonus Edition),Figure.09,197506,False,0.518,0.951,9,-3.198,1,0.0529,0.00919,0.0,0.148,0.537,98.068,4,metal,1
Wilson Piravom,Vanna Vazhikal,Vanna Vazhikal,442721,False,0.606,0.473,2,-11.891,1,0.0441,0.56,2.2e-05,0.138,0.665,104.906,4,malay,1
Carlos Gardel,"Essential Classics, Vol. 9: Carlos Gardel (Remastered 2022)",Mi Buenos Aires Querido (Remastered 2022),159759,False,0.446,0.18,6,-12.174,1,0.0627,0.987,0.0,0.128,0.453,85.027,3,tango,1
Öwnboss;Sevek,Move Your Body,Move Your Body,157444,False,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4,edm,2
Tears For Fears,The Seeds Of Love,Sowing The Seeds Of Love,376733,False,0.209,0.795,0,-7.241,1,0.0443,0.0109,5.63e-05,0.355,0.682,171.975,4,synth-pop,1
Armin van Buuren,Clap,Clap,150002,False,0.646,0.971,9,-3.417,1,0.135,0.00776,0.588,0.411,0.122,130.218,4,progressive-house,1
Metallica,Metallica,The Unforgiven,386493,False,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4,hard-rock,1
Vybz Kartel,Pon Di Gaza 2.0,Gaza Thing a Ling,152800,False,0.625,0.631,11,-7.732,0,0.408,0.0238,0.0,0.0907,0.81,125.831,5,j-dance,1
NEIKED;Anne-Marie;Latto,Beautiful Trending Hits 2022,I Just Called,150560,False,0.626,0.849,7,-3.662,1,0.123,0.0732,0.0,0.593,0.898,138.997,4,house,3
Mr. Dan,#Experi White (Ao vivo),Seja bem-vinda - Ao vivo,198220,False,0.471,0.456,5,-11.264,0,0.0654,0.24,0.0,0.478,0.379,124.682,4,pagode,1
TOMORROW X TOGETHER,minisode1 : Blue Hour,Blue Hour,209105,False,0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,4,k-pop,1
JPEGMAFIA,LP!,DIRTY!,120986,True,0.694,0.923,2,-1.077,0,0.0793,0.153,0.0,0.0582,0.676,119.097,4,industrial,1
Swattrex,Ajab Si Adaayein Hain,Ajab Si Adaayein Hain,194245,False,0.667,0.193,4,-17.939,1,0.0316,0.867,0.000222,0.108,0.307,90.77,4,indian,1
George Jones,I Am What I Am (Expanded Edition),I'm Not Ready Yet,177933,False,0.612,0.333,0,-14.111,1,0.0265,0.709,0.00914,0.122,0.419,95.42,4,honky-tonk,1
Sub Focus;Dimension,Ready To Fly,Ready To Fly,204500,False,0.485,0.969,8,-0.517,0,0.0561,0.0485,0.664,0.192,0.448,173.941,4,drum-and-bass,2
Kyson,Lucky Notes,Movement Schedule,130909,False,0.31,0.229,11,-14.422,1,0.0343,0.982,0.689,0.112,0.2,121.178,4,idm,1
Dan Gibson's Solitudes,Desert Retreat,Desert Solitude,105986,False,0.278,0.0565,9,-30.699,0,0.0783,0.989,0.592,0.401,0.095,87.203,4,new-age,1
Murilo Huff,Pra Ouvir Tomando uma 2 (Ao Vivo),Pout Pourri - por Te Amar Assim / Coração Bandido / Primeiro de Abril (Ao Vivo),291017,False,0.383,0.699,4,-3.961,1,0.089,0.147,0.0,0.855,0.372,77.347,4,sertanejo,1
Horace Andy,Serious Times,Serious Times,256986,False,0.576,0.423,0,-8.831,1,0.264,0.405,0.0,0.0966,0.334,162.04,4,dub,1
NG Rezonance,"Syncopy Radio Edits, Vol. 2",Adrenaline - Instrumental Radio Edit,162857,False,0.526,0.989,1,-6.353,0,0.091,0.0103,0.88,0.15,0.0388,140.039,4,trance,1
Armin van Buuren;AVIRA;Chicane,"Feel Again, Pt. 2",Offshore,199680,False,0.533,0.948,5,-5.977,0,0.0392,0.0011,0.896,0.128,0.354,125.016,4,trance,3
22Gz;Kodak Black,Walk - Fresh Rap Flow,Up n Stuck,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,2
White Noise Baby Sleep,Nap Time White Noises,Watery Brown Noise,191505,False,0.133,0.545,1,-26.896,1,0.0637,0.955,0.788,0.112,0.0521,98.729,3,sleep,1
Okieriete Onaodowan;Daveed Diggs;Lin-Manuel Miranda;Leslie Odom Jr.;Anthony Ramos,Hamilton (Original Broadway Cast Recording),The Story of Tonight - Reprise,115879,True,0.724,0.305,5,-12.763,0,0.257,0.68,0.0,0.128,0.594,81.874,4,show-tunes,5
Jorge Aragão,Ao vivo,Tape Deck - Ao vivo,227173,False,0.641,0.816,0,-9.333,1,0.126,0.64,0.000204,0.786,0.792,118.988,4,samba,1
Stevie Wonder,Christmas Classics,What Christmas Means To Me - Single Version / Mono,148146,False,0.545,0.7,5,-6.961,1,0.0323,0.0982,0.0,0.1,0.799,83.506,4,soul,1
Ewa Konstancja Bułhak,Bambukalambu,Ajka Bajka,133586,False,0.449,0.099,10,-14.272,1,0.0349,0.922,0.000242,0.115,0.465,174.043,3,disney,1
Melendi,Sin Noticias De Holanda,Sé lo que hicisteis - 2006 Remastered Version,228546,False,0.676,0.923,4,-6.374,1,0.0638,0.394,0.0,0.104,0.863,159.955,4,spanish,1
Leehom Wang,王力宏 火力全開新歌加精選,依然愛你,246237,False,0.611,0.385,9,-10.06,1,0.0661,0.828,0.0,0.126,0.358,147.954,4,mandopop,1
Wolfgang Amadeus Mozart;Daniel Barenboim;Berliner Philharmoniker,Mozart: Piano Concertos Nos. 20 & 22,"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",417666,False,0.356,0.159,2,-20.231,0,0.0379,0.984,0.943,0.151,0.229,71.779,4,classical,3
Regurgitate,Carnivorous Erection,Copious Head Carnage,63093,False,0.246,0.991,1,-6.861,0,0.175,0.0,0.923,0.113,0.0847,111.704,4,grindcore,1
Hideki Taniuchi,DEATH NOTE Original Soundtrack,Kodoku,198000,False,0.252,0.509,6,-5.862,0,0.0365,5.74e-05,0.946,0.132,0.139,153.705,3,anime,1
Александр Цфасман;Ivan Shmelyov,Александр Цфасман и звёзды советской эстрады,Мне бесконечно жаль,163395,False,0.384,0.0776,1,-26.606,1,0.0565,0.936,0.0688,0.389,0.543,121.945,4,romance,2
Wheels on the Bus,The Wheels on the Bus,The Wheels on the Bus,108000,False,0.807,0.189,8,-13.873,1,0.0454,0.694,0.0,0.0828,0.645,84.763,4,children,1
FIT Siegel,Formula,Wayne County Stomp,255359,False,0.812,0.807,6,-5.795,1,0.0328,0.0416,0.918,0.135,0.708,124.996,5,detroit-techno,1
Tegh,Emergent Errors,Heat,696480,False,0.139,0.37,11,-16.325,0,0.062,0.0245,0.765,0.0803,0.0337,140.906,4,iranian,1
Madhusree;Naresh Iyer,Anbe Aaruyire (Original Motion Picture Soundtrack),Mayilrage,322861,False,0.732,0.654,8,-7.583,0,0.0396,0.464,5.49e-05,0.123,0.724,122.049,4,pop-film,2
Dio,Holy Diver,Rainbow In The Dark,252693,False,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,4,metal,1
Feint;Laura Brehm,Words,Words,276000,False,0.5,0.871,0,-3.924,1,0.0553,0.000565,0.114,0.327,0.357,87.509,4,dub,2
my little airport,TASTE OF TEARS (Live),宅女上街吧 - Live,138133,False,0.377,0.553,0,-10.567,1,0.0405,0.0073,1.26e-05,0.11,0.351,133.5,4,cantopop,1
Rick James,Disco Boogie Mood,Super Freak,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,1
The Spits,Kill the Kool,2018,117996,False,0.438,0.735,9,-5.157,0,0.0525,0.000485,0.872,0.0706,0.46,104.458,4,garage,1
Cheyenne Jackson;All Shook Up Ensemble,All Shook Up,C'mon Everybody (Encore),117746,False,0.474,0.776,11,-6.501,0,0.168,0.133,0.0,0.209,0.397,178.143,4,show-tunes,2
Los Teen Tops,La Plaga,El Rock de la Carcel,139624,False,0.628,0.476,2,-8.174,1,0.0512,0.665,0.00273,0.0576,0.645,90.314,4,rockabilly,1
Chez Damier;Ron Trent,"Word, Sound & Power",The Meaning,535475,False,0.595,0.77,6,-10.772,1,0.0315,9.76e-05,0.929,0.0733,0.307,119.0,4,chicago-house,2
The Party Cats,Upbeat Kids Songs!,You Are The Music In Me,159240,False,0.626,0.849,7,-5.827,1,0.0324,0.00334,1.13e-05,0.0535,0.638,141.976,4,kids,1
Domingo Quiñones,Quien Mato A Hector Lavoe,Periodico De Ayer,121906,False,0.649,0.737,5,-7.799,0,0.0288,0.576,0.0,0.516,0.943,91.478,4,salsa,1
Alvaro Diaz,Noche de Halloween Latino,Brilloteo,258560,False,0.718,0.735,1,-4.854,1,0.0369,0.0917,0.0,0.188,0.4,109.999,4,reggae,1
The Minds Of 99,Liber,Ud Af Min Krop,257737,False,0.459,0.702,0,-6.019,1,0.0318,0.155,0.00172,0.162,0.122,129.991,4,punk-rock,1
Rob Zombie,Twisted Halloween Hits,Living Dead Girl,201400,False,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4,hard-rock,1
King,Champagne Talk,Champagne Talk,163008,False,0.677,0.68,1,-5.19,0,0.103,0.0616,4.49e-05,0.0812,0.473,189.954,4,hip-hop,1
JJ Heller,Meant to Be,Meant to Be,186373,False,0.539,0.356,7,-9.749,1,0.0321,0.764,0.00154,0.127,0.489,73.703,4,acoustic,1
Old Man's Child,Revelation 666 - The Curse of Damnation,Phantoms of Mortem Tales,335293,False,0.128,0.954,5,-4.753,1,0.0567,3.53e-06,0.128,0.167,0.183,147.166,4,black-metal,1
Adolescent's Orquesta,La Misma Pluma,Mírame,246308,False,0.666,0.657,0,-8.508,1,0.0366,0.809,2.44e-05,0.202,0.884,97.477,4,salsa,1
Boards of Canada,The Campfire Headphase,Peacock Tail,324906,False,0.641,0.477,2,-13.083,1,0.058,0.165,0.922,0.0788,0.46,171.424,4,trip-hop,1
Yusei,Beyond Your Imagination,Evening in Shinjuku,290961,False,0.492,0.406,4,-13.565,0,0.414,0.984,0.818,0.195,0.326,121.762,4,chill,1
Kidnap;Leo Stannard,Grow,Grow,216794,False,0.714,0.486,5,-8.034,1,0.0303,0.126,0.0211,0.116,0.205,116.987,4,garage,2
Ane Brun,Chill Christmas Dinner,Changing Of The Seasons - Sketches Version,269626,False,0.449,0.116,2,-12.591,1,0.034,0.948,2.51e-05,0.108,0.0625,139.699,3,singer-songwriter,1
BOØWY,"""GIGS"" CASE OF BOφWY COMPLETE (Live From ""Gigs"" Case Of Boowy / 1987)","MORAL - FROM ""GIGS"" CASE OF BOOWY",154146,False,0.283,0.996,4,-3.731,1,0.152,0.0125,0.00998,0.367,0.439,174.394,4,j-rock,1
Cyclo,La Oveja Negra,"Malos días, Buena Cara",225600,False,0.472,0.628,1,-9.297,1,0.227,0.681,0.0,0.0943,0.531,99.27,4,spanish,1
Cream,Fiesta temática 60s,Sunshine Of Your Love,250240,False,0.683,0.522,2,-11.117,1,0.0377,0.507,0.000137,0.121,0.764,115.072,4,psych-rock,1
The Chainsmokers,So Far So Good,High,175163,True,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,4,electro,1
Jor'dan Armstrong;Tim Bowman Jr.,Blsd (Deluxe),Pull Me Through,242428,False,0.669,0.754,5,-4.809,0,0.0875,0.339,0.0,0.646,0.543,118.091,4,afrobeat,2
Booka Shade,Contour EP,Corrosion (Contour 2),401500,False,0.704,0.77,8,-8.406,1,0.037,0.0102,0.909,0.0957,0.334,124.988,4,minimal-techno,1
Ritviz;Nucleya,Baaraat,Baaraat,222096,False,0.678,0.449,4,-9.379,0,0.0869,0.477,0.0,0.536,0.606,100.033,4,edm,2
Chris Tomlin,How Great Is Our God: The Essential Collection,How Great Is Our God,305426,False,0.318,0.573,1,-5.653,1,0.0324,0.107,0.0,0.0854,0.0765,156.054,4,world-music,1
Harold van Lennep,Liberation,Liberation - Extended Mix,266463,False,0.75,0.664,0,-7.306,0,0.0723,0.428,0.63,0.0931,0.586,100.023,4,deep-house,1
Marshmello,Alone,Alone,273802,False,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,4,progressive-house,1
Marc Anthony,Éxitos del Pop en Español de los Años 2000,Valió la Pena - Salsa Version,288786,False,0.51,0.725,9,-5.183,0,0.0549,0.327,6.69e-06,0.074,0.836,98.5,4,salsa,1
Bankzitters,Eenzaam,Eenzaam,159574,False,0.8,0.6,10,-6.429,0,0.094,0.181,0.0,0.36,0.434,94.011,4,hardstyle,1
Hillsong Worship;Brooke Ligertwood,Awake,King Of Kings - Live at Hillsong Conference,291565,False,0.454,0.427,2,-8.049,1,0.029,0.0205,0.0,0.69,0.184,135.887,4,world-music,2
Bryan Adams,Christmas Playlist 2022,Christmas Time,243057,False,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,rock,1
Méav,Celtic Twilight 5 (From The Hearts O'Space),"Ailein Duinn (Theme From The Movie ""Rob Roy"")",254880,False,0.272,0.247,5,-11.169,0,0.0333,0.905,0.0256,0.111,0.106,112.881,3,opera,1
Little Jinder;Markus Krunegård,Allting suger,Ligger med en ful (feat. Markus Krunegård),182841,False,0.685,0.731,9,-5.087,0,0.036,0.136,5.89e-06,0.101,0.388,108.949,4,synth-pop,2
Jerry Rivera,Cuenta Conmigo,El Principe De La Ciudad,283840,False,0.793,0.485,6,-13.639,1,0.0415,0.659,0.0018,0.317,0.92,95.101,4,salsa,1
Eisregen,Satan liebt dich,Onkel Fritze,186653,False,0.488,0.993,10,-4.666,1,0.194,0.000421,3.22e-06,0.353,0.152,140.043,4,black-metal,1
Kristen Anderson-Lopez;Patti Murin,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),I Seek the Truth - Outtake,241534,False,0.454,0.305,0,-8.904,0,0.0336,0.88,0.0,0.149,0.249,72.097,4,disney,2
The Him;Son Mieux,Feels Like Home,Feels Like Home - Radio Edit,184918,False,0.65,0.827,8,-3.792,1,0.0926,0.0265,5.88e-05,0.166,0.498,122.057,4,deep-house,2
Lady Gaga,Halloween 2022,Dance In The Dark,288960,True,0.639,0.751,0,-6.358,0,0.0324,2.97e-05,4.96e-05,0.163,0.14,120.992,4,dance,1
Brett Eldredge,Cozy Country,Holy Water,164426,False,0.519,0.363,9,-8.238,1,0.0302,0.317,1.17e-06,0.108,0.211,95.275,4,country,1
Kenny Larkin,Azimuth,Track,407826,False,0.552,0.76,1,-12.784,0,0.117,0.262,0.831,0.0508,0.0898,140.13,4,detroit-techno,1
阿涵,过客,过客,270000,False,0.537,0.625,4,-5.514,1,0.0634,0.581,0.0,0.0881,0.411,208.225,4,mandopop,1
Stefanie Sun,逆光,逆光,294026,False,0.306,0.579,9,-5.831,1,0.0525,0.403,0.0,0.291,0.306,175.925,4,mandopop,1
Nu:Tone,Sick Music,Balaclava In My System,375653,False,0.519,0.959,10,-6.733,0,0.0742,0.00365,0.00413,0.312,0.486,86.999,4,drum-and-bass,1
Almir Sater,Ensaio,Cabelo Loiro,59426,False,0.733,0.297,2,-12.708,1,0.0543,0.949,1.4e-06,0.222,0.963,143.234,4,mpb,1
Ron White,A Little Unprofessional,L.A. Beautiful/You're Beautiful/The Yellow Blur,322322,True,0.577,0.43,3,-19.479,0,0.941,0.955,0.0,0.32,0.235,100.561,3,comedy,1
Dinosaur Jr.,Sweep It Into Space,N Say,195986,False,0.302,0.934,9,-6.267,1,0.076,0.00435,0.0273,0.15,0.537,154.148,4,power-pop,1
KC Lights,Tomorrowland Music - The Reflection of Love Singles,Follow,152000,False,0.711,0.871,9,-7.145,1,0.0572,0.246,0.000143,0.273,0.537,124.985,4,groove,1
Tres Hermanas,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,155792,False,0.452,0.268,8,-9.405,1,0.0311,0.961,2.85e-05,0.119,0.265,66.805,4,acoustic,1
Eason Chan,What's Going On...?,粵語殘片,276146,False,0.529,0.667,2,-6.194,1,0.0328,0.382,0.0,0.1,0.331,143.925,4,cantopop,1
Greg Holden,I Don't Believe You (Acoustic Version),The Lost Boy (Bonus Track),208729,False,0.361,0.313,7,-9.922,1,0.0305,0.812,0.0,0.301,0.257,77.844,4,british,1
FLETCHER,Herbststimmung,Undrunk,183428,True,0.442,0.579,5,-6.484,1,0.145,0.489,1.04e-06,0.126,0.546,83.336,4,electro,1
Chip E.;Carl Cox,Time 2 Jack,Time to Jack - Back 2 Jack 2018 Instrumental,363468,False,0.805,0.939,8,-7.304,0,0.0536,0.0339,0.936,0.0906,0.27,127.974,4,chicago-house,2
Michael Bublé,Human - Best Adult Pop Tunes,I'll Never Not Love You,218390,False,0.492,0.791,11,-5.045,1,0.0703,0.00816,1.87e-05,0.11,0.585,144.363,4,j-pop,1
Whitesnake,Saints and Sinners (2013 Remaster),Here I Go Again - 2011 Remaster,308240,False,0.234,0.75,4,-7.034,0,0.0738,0.369,0.000805,0.139,0.316,173.82,4,british,1
Korn,See You On the Other Side,Coming Undone,199773,False,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,4,metal,1
BOØWY,PSYCHOPATH,LIAR GIRL,251626,False,0.564,0.837,4,-4.734,1,0.0296,0.00457,1.26e-05,0.0709,0.261,147.788,4,j-rock,1
Andrew Foy;Renee Foy;Stephan Baulig,Afterglow (Stephan Baulig Remix),Afterglow - Stephan Baulig Remix,213620,False,0.674,0.52,0,-10.106,1,0.0511,0.272,2.41e-06,0.151,0.422,116.029,4,guitar,3
The Chainsmokers,Sick Boy,Everybody Hates Me,223466,False,0.475,0.752,11,-6.596,0,0.0467,0.00703,0.0,0.406,0.515,154.957,4,edm,1
吳青峰;Lisa Ono,馬拉美的星期二,(......棕髮少女)(feat. 小野麗莎),219925,False,0.534,0.592,0,-8.56,1,0.0352,0.0426,0.0385,0.0957,0.202,88.012,4,mandopop,2
Enigma,The Fall Of A Rebel Angel,Diving,172000,False,0.227,0.174,0,-22.707,1,0.0392,0.946,0.903,0.203,0.0959,68.901,4,new-age,1
Staind,Break the Cycle,It's Been Awhile - Acoustic,270773,True,0.64,0.54,11,-7.561,0,0.0262,0.112,5.32e-05,0.165,0.0621,113.835,4,grunge,1
Valesca Mayssa;Kellen Byanca,Árvore Cortada,Árvore Cortada - Acústico,425460,False,0.394,0.585,5,-6.088,1,0.0398,0.461,0.0,0.136,0.351,139.945,4,gospel,2
UNISON SQUARE GARDEN,Populus Populus,"kid,I like quartet",275546,False,0.391,0.952,9,-1.958,1,0.0589,0.0484,3.52e-05,0.312,0.743,188.002,4,j-rock,1
Star Darlings,Wish Now,Wish Now,232506,False,0.609,0.762,0,-5.118,1,0.0592,0.00478,0.0,0.0723,0.607,154.944,4,disney,1
Tchami,Adieu,Adieu,413333,False,0.717,0.747,11,-4.932,0,0.0409,0.0467,0.635,0.0772,0.335,125.983,4,groove,1
Tritonal,Tritonia 399,Adelphi '88 (Tritonia 399),262873,False,0.536,0.966,9,-5.94,0,0.0386,0.00122,0.62,0.416,0.162,125.987,4,dub,1
Medina,Där palmerna bor,Där palmerna bor,225226,False,0.861,0.814,6,-5.991,1,0.0625,0.247,0.0,0.0801,0.766,125.067,4,swedish,1
Los Tukas,Tesoros De Coleccion - Los Tukas,Mis Noches Te Recuerdan,133733,False,0.642,0.468,0,-10.414,1,0.0345,0.404,0.0,0.0702,0.769,107.956,4,rock-n-roll,1
Prateek Kuhad,Shehron Ke Raaz,Kasoor - Acoustic,213306,False,0.62,0.111,6,-14.142,1,0.0355,0.896,0.00135,0.113,0.477,127.96,5,folk,1
YUNGBLUD,Best Alternative Pop Tunes,Life On Mars? - Live At A Bowie Celebration 2021,231207,False,0.478,0.536,10,-7.915,1,0.0319,0.631,0.000102,0.145,0.256,116.826,4,indie,1
L'Impératrice;Rejjie Snow,Everything Eventually Ends,Everything Eventually Ends,177280,False,0.865,0.484,11,-9.321,0,0.177,0.361,9.53e-06,0.116,0.849,95.016,4,french,2
Ben Woodward,Memories (Acoustic),Memories (Acoustic),183337,False,0.802,0.183,8,-17.1,1,0.403,0.809,0.0,0.109,0.664,91.078,4,acoustic,1
Climie Fisher,80's,Love Changes (Everything),268560,False,0.615,0.632,5,-14.082,1,0.0262,0.257,1.33e-05,0.178,0.87,111.159,4,synth-pop,1
The Strokes,Is This It,New York City Cops,210746,False,0.522,0.853,0,-7.66,1,0.0362,0.071,2.82e-05,0.343,0.455,107.943,4,garage,1
Silk Route,Boondein,Boondein,290249,False,0.652,0.429,5,-10.849,1,0.0257,0.566,0.00397,0.0953,0.196,112.008,4,indian,1
Atlanta Rhythm Section,Sweet Home Alabama,Beautiful Dreamer,206133,False,0.433,0.264,2,-16.176,1,0.0346,0.64,0.00275,0.286,0.257,124.987,4,hard-rock,1
Katarzyna Łaska,Kraina lodu: Przygoda Olafa (Ścieżka dźwiękowa polskiej wersji),Zaczynają się Święta (Repryza),76120,False,0.378,0.0833,9,-14.703,1,0.0378,0.982,6.37e-05,0.101,0.305,175.063,4,disney,1
Skylar Grey,Don't Look Down,Coming Home - Part II / Bonus Track,164826,False,0.568,0.283,4,-9.605,1,0.0333,0.93,2.04e-05,0.0906,0.173,130.052,4,piano,1
Karthik;Prashanthini,Ayan,Vizhi Moodi,332266,False,0.739,0.375,7,-9.36,0,0.0541,0.119,0.0,0.0863,0.581,90.952,4,pop-film,2
Gabriela Rocha,Até Transbordar (Ao Vivo),Nada Além de Ti - Ao Vivo,300640,False,0.402,0.559,9,-6.702,1,0.0294,0.0132,4.77e-06,0.331,0.103,135.918,4,gospel,1
Aviões do Forró,"Aviões do Forró, Vol. 3",Adeus Até Nunca Mais,206994,False,0.549,0.891,11,-5.807,1,0.0656,0.332,0.0,0.624,0.928,173.877,4,forro,1
Lobão,"Lobão Elétrico Lino, Sexy & Brutal - Ao Vivo Em São Paulo (Deluxe Version)",Me Chama (Deluxe Version),219788,False,0.43,0.776,2,-5.563,1,0.0412,0.137,0.00046,0.804,0.491,105.076,4,brazil,1
Brando;Ninetails,Armada Music - ADE 2022,Saturday Night (Feel The Groove),153925,False,0.692,0.775,4,-4.241,0,0.0617,0.0278,0.0,0.427,0.634,121.994,4,edm,2
Saleem,Jai Mata Di,Boliyan,255413,False,0.687,0.889,11,-7.701,1,0.0542,0.421,9.68e-05,0.111,0.972,169.947,4,malay,1
Sodagreen,十年一刻,無眠,224813,False,0.504,0.354,11,-10.036,1,0.0382,0.835,0.0,0.0975,0.404,71.98,4,mandopop,1
MY FIRST STORY,King & Ashley,King & Ashley,203786,False,0.528,0.957,5,-4.358,1,0.11,0.000127,0.0,0.119,0.444,107.556,4,anime,1
Krafty Kuts;Freestylers,Dynamite Love,Dynamite Love (Krafty Kuts vs. Freestylers),215840,False,0.649,0.93,2,-4.776,1,0.0389,0.0118,1.2e-05,0.0468,0.894,135.017,4,breakbeat,2
Cristina Mel,Aguenta,Aguenta,297983,False,0.427,0.614,7,-3.595,1,0.0325,0.573,0.0,0.183,0.191,127.393,4,brazil,1
Ronald El Killa;Antuan,La Invasion,La Última Vez (feat. Antuan),204519,False,0.818,0.558,7,-8.568,1,0.122,0.00423,1.51e-05,0.313,0.848,161.99,4,reggaeton,2
Boards of Canada,Geogaddi,1969,260466,False,0.667,0.73,1,-10.049,0,0.0421,0.000992,0.536,0.34,0.207,147.324,4,trip-hop,1
